m428  +++$+++  [-0.9969, 0.995, -0.9888, 0.9406, 0.9956, -0.9664, 0.9877, 0.9336, -0.9777, -0.9976, -0.9981, 0.9966, -0.9917, 0.7522, 0.9381, 0.9688]
m15  +++$+++  [-0.8238, 0.7755, 0.9437, -0.8746, 0.8243, 0.6943, 0.7716, 0.8509, 0.9417, 0.922, 0.7018, 0.9449, -0.9837, 0.9881, -0.9828, 0.9357]
m288  +++$+++  [0.9149, -0.9346, 0.9878, 0.987, 0.7415, -0.4829, 0.9802, -0.4869, 0.9885, 0.9933, -0.9164, 0.8414, -0.9626, 0.9289, 0.9666, 0.8745]
m261  +++$+++  [0.9776, -0.4817, -0.8942, -0.8407, 0.9645, 0.5242, -0.8945, 0.9314, 0.8466, -0.988, 0.9909, -0.9733, -0.7308, -0.9254, -0.3043, -0.9084]
m339  +++$+++  [-0.5242, 0.905, -0.9147, -0.3527, -0.6123, 0.9353, -0.9645, -0.9553, -0.9345, -0.9442, -0.8638, -0.5661, 0.9074, -0.3891, -0.9084, 0.8568]
m54  +++$+++  [-0.9927, -0.9924, -0.9213, 0.9375, -0.7021, 0.9802, -0.9967, 0.9933, 0.9564, 0.9828, -0.9009, -0.948, 0.8667, 0.9443, 0.7859, -0.9816]
m94  +++$+++  [0.9859, 0.9932, -0.9474, 0.9783, -0.6846, 0.9877, 0.9971, 0.9627, 0.9958, 0.9936, 0.9922, 0.995, 0.9232, 0.9971, 0.862, 0.9811]
m321  +++$+++  [0.6415, -0.9698, -0.9846, -0.2713, -0.9817, -0.9211, -0.4881, 0.911, 0.9419, -0.9223, 0.8351, -0.8404, 0.5191, 0.8741, -0.9658, -0.9628]
m292  +++$+++  [0.798, -0.9834, -0.8665, 0.9782, -0.9832, -0.6271, 0.9894, 0.7548, -0.7992, 0.9554, 0.8809, 0.9482, 0.961, 0.9862, -0.989, 0.9959]
m40  +++$+++  [-0.977, 0.8522, 0.8949, 0.8386, -0.5009, -0.9423, -0.9407, -0.8735, -0.9491, -0.9942, 0.739, 0.9043, -0.9798, 0.9945, -0.9921, -0.9221]
m249  +++$+++  [0.8802, -0.5176, 0.7094, 0.9947, 0.9398, 0.9751, -0.8115, -0.8258, 0.9947, 0.7978, 0.9142, 0.2758, 0.96, 0.996, 0.9933, 0.9875]
m216  +++$+++  [-0.9385, 0.9679, 0.5289, -0.972, 0.9135, 0.946, 0.9945, 0.8036, -0.9714, -0.9617, -0.97, -0.98, 0.7462, -0.9624, 0.9676, -0.9485]
m612  +++$+++  [-0.9724, -0.6393, 0.7809, 0.635, -0.9807, -0.8281, 0.9465, 0.647, 0.4548, -0.9733, -0.9343, -0.9655, -0.9849, -0.6629, 0.8906, -0.7664]
m127  +++$+++  [0.9954, 0.9812, 0.9737, 0.9339, 0.9839, 0.9938, 0.9953, -0.8211, -0.9808, -0.9171, -0.9837, 0.8822, 0.9969, -0.7728, 0.7702, -0.3352]
m115  +++$+++  [0.9854, 0.8188, 0.9889, 0.5736, 0.634, -0.9307, -0.8512, 0.5817, 0.2511, -0.6147, 0.8602, 0.8924, 0.9717, 0.9836, 0.9893, 0.9677]
m408  +++$+++  [-0.7639, 0.9881, -0.8967, 0.9873, 0.9813, 0.9677, 0.9705, -0.9499, 0.9925, 0.9946, 0.988, 0.9971, 0.7733, 0.8112, 0.9883, 0.9982]
m328  +++$+++  [0.9838, 0.3816, 0.3424, -0.857, -0.9557, 0.7465, -0.7202, -0.686, 0.9757, 0.4124, 0.9437, 0.7723, -0.7293, 0.9123, -0.972, -0.8609]
m244  +++$+++  [0.9968, 0.9977, 0.9912, 0.9827, 0.9977, -0.9703, 0.8747, 0.9984, 0.9955, 0.9983, 0.9245, 0.9824, 0.906, 0.9932, 0.9927, 0.9896]
m303  +++$+++  [0.9672, 0.9224, -0.9942, -0.7571, 0.4019, -0.9644, 0.4403, -0.9323, -0.944, 0.9774, 0.9786, -0.8335, -0.9052, 0.729, -0.9829, 0.8793]
m551  +++$+++  [-0.9466, 0.9778, 0.9698, -0.9069, 0.9804, 0.9571, -0.8373, 0.973, 0.4106, 0.9697, 0.7534, -0.8436, -0.9598, -0.9296, -0.9746, 0.8427]
m8  +++$+++  [-0.7393, 0.5678, 0.9054, 0.8364, -0.5984, -0.9749, -0.9738, -0.8968, -0.9213, 0.6795, -0.7836, 0.9355, 0.7387, -0.9636, -0.7543, 0.7866]
m406  +++$+++  [0.8591, 0.0, 0.7386, 0.7003, 0.6705, 0.0, 0.0, -0.0516, 0.6705, -0.7149, 0.2168, 0.5994, -0.3736, 0.7906, 0.1717, 0.0]
